Team,ELO
Kenya,1562
Cuyo,1562
Auckland,1562
Reef & Country,1561
Reds College XV,1561
Montferrand,1560
Samoa President's XV,1559
Breconshire,1559
Littoral Region XV,1559
ACT XV,1559
ASM Clermont Auvergne,1558
South Africa Amateurs,1558
Pacific Islanders,1558
Fiji President's XV,1558
Northland,1557
Capibaras XV,1557
Tautahi Gold,1555
"Pontypool, Cross Keys & Newbridge",1555
Auvergne,1554
Canada Select XV,1553
Doncaster Knights,1553
East Wales,1552
Bahrain,1552
South West Division,1552
Eastern Transvaal / North Natal,1552
Welsh Clubs XV,1552
South Africa Defence,1551
New Zealand XV,1551
Bristol Rugby,1551
Papua New Guinea,1550
Midland Division,1550
Northern Counties,1549
New Zealand Universities,1549
Natal Sharks,1549
US Army,1549
Northern Transvaal Country,1549
Sussex,1549
CS Bourgoin-Jallieu,1549
Martinique,1548
Newport,1548
Agen,1548
New Zealand Army,1547
Dinamo Bucuresti,1547
Wales Development XV,1547
Scottish Select XV,1547
Pacific Barbarians,1546
Morocco,1546
Northern Transvaal U20,1546
Pumas,1545
Italy XV,1544
Brisbane Academy,1543
Wellington,1543
Hong Kong A,1542
Dogos,1542
Oxford / Cambridge Combined,1541
Senegal,1541
Alps,1540
Chicago Hounds,1540
Leicestershire Centenary XV,1539
Birkenhead Park,1539
North & Midlands of Scotland,1539
Gloucestershire,1539
Bristol Bears,1538
Democratic Republic of Congo,1537
Macau,1537
Chile A,1536
Valence Romans,1536
Hartpury University RFC,1536
Namibia President's XV,1536
Sydenham,1536
West Midlands,1536
Lourdes,1535
Tasman,1535
USA Grizzlies,1535
Country XV,1535
Pembrokeshire,1534
Ospreys,1534
Brisbane,1534
Ile-de-France,1533
Junior Japan,1533
France XV,1532
England U25,1532
Combined Western Province,1532
Gosforth,1531
Counties,1531
Oxfordshire,1529
Gala,1528
NEC Green Rockets,1528
Headingley,1528
Tokyo Sungoliath,1528
Old Glory DC,1527
New Zealand Heartland XV,1526
Saracens,1526
London Division,1525
SA Country Districts B,1524
Racing 92,1524
Western Force A,1524
Western Province Country,1523
SRU President's XV,1523
New South Wales B,1523
The South,1523
Nottingham,1522
Wales U25,1522
Glamorgan U25,1522
Provence Rugby,1521
Eastern Union,1521
Rosario,1521
US Falcons,1521
English Students,1520
Ebbw Vale,1520
Apia,1519
Oyonnax Rugby,1519
Irish Development XV,1518
Witwatersrand,1518
Gloucestershire-Somerset,1517
Neath,1517
Northern & Western Transvaal,1517
Devon / Cornwall,1516
Brazil A,1515
Combined Provinces,1515
Queensland U20,1515
Uganda A,1515
Kenya A,1515
Cornish Pirates,1515
Philippines,1515
Romania,1514
Southern Universities,1513
Brumbies,1513
Mauritania,1512
Fiji A,1511
Pretoria,1511
Rhodesia,1511
Free State Country,1510
Cardiff Rugby,1510
Eastern Transvaal,1509
Italy U21,1509
Western Transvaal,1508
Peñarol,1508
Midwest RFU,1507
Tarucas,1507
Wanganui / King Country,1506
British Columbia,1505
Glasgow / Edinburgh,1503
Border,1502
Queensland A,1502
Aberavon,1501
Mali A,1501
England Rugby Partnership XV,1500
Maesteg,1500
Free State / Griqualand West / South West Africa,1500
Yorkshire Carnegie,1500
Emerging Wales,1500
French Police,1500
Dungannon,1500
Esher,1500
Far Northern Transvaal,1500
Nelson / Golden Bay-Motueka,1500
Neuquen,1500
Moscow,1500
Treorchy,1500
Argentina Juniors,1500
Queensland Presidents XV,1500
First Nations and Pasifika XV,1499
British Columbia U25,1499
Boland Invitation XV,1499
Glasgow Caledonians,1499
Centre-Limousin,1499
New Zealand Provincial Barbarians,1499
Eastern Free State,1499
Quaggas-Barbarians,1499
Reds,1499
Quaggas,1499
Auvergne Selection,1499
South Eastern France,1498
Italian Presidents XV,1498
Harlequins,1498
Australia B,1498
Royal Navy,1498
Paul Roos XV,1498
Rebels,1498
Litoral Selection,1498
Waratahs,1498
ANZAC,1498
NSW / Queensland Country,1498
Romania Sud XV,1497
Pontypool / Newbridge,1497
Invitational Australia & New Zealand,1497
Suntory,1497
Eastern XV,1497
Fijian Barbarians,1497
Western XV,1497
CONSUR XV,1497
Classic Wallabies,1497
Presidents XV,1497
Mendoza,1497
Riverina,1496
South Africa Barbarians North,1496
Chilean Invitational,1496
Buenos Aries Selection,1496
Royal XV,1496
Cougars,1496
Victoria / South Australia,1496
ACT Presidents XV,1496
Central Unions,1496
Northern Services,1496
SA Universities,1496
Romania B,1496
British Schools Old Boys,1496
"Midlands, London & Home Counties",1496
South Africa Barbarians South,1496
NSW Waratahs,1495
Eastern Province Kings,1495
Wellington Province,1495
Royal Air Force,1495
Griqualand West,1495
Welsh Students,1495
Egypt,1495
Argentina B,1495
OFS Country Invitation XV,1495
South West Zone,1494
New York Metropolitan,1494
Western Japan,1494
United Services,1494
Queensland XV,1494
Rest of Scottish Districts,1494
Western Fiji Select,1494
Cheltenham,1494
Western New South Wales,1494
Combined Waseda U and Kinki Nihon Railway XV,1494
North Midlands & Warwickshire,1494
South Western Counties,1494
Hampshire & Sussex,1494
Canada B,1494
University of California,1494
Eastern Canada,1494
Coast of Basque,1494
South West XV,1494
British Army,1494
Southern New South Wales,1494
Rugby East (USA),1494
Junior Wallabies,1494
Netherlands,1494
Canada All Stars,1493
Lower Mainland,1493
Northumberland & Cheshire,1493
Tasmanian Invitation,1493
British Columbia XV,1493
Northern Region XV,1493
Southern Region XV,1493
Club Atlético de San Isidro,1493
Thames Valley,1492
Canadian Select XV,1492
Northern Suburbs,1492
Cheshire,1492
Northern New South Wales,1492
Mid-Districts (Wales),1492
Fiji XV,1492
Combined XV,1492
British Army of the Rhine,1492
"Lancashire, Chesire & Yorkshire",1492
Durham / Northumberland,1492
South East,1492
Quebec & Maritimes,1491
Scottish Universities,1491
Australian United Services,1491
Aquitaine XV,1491
California,1491
Pyrenees,1491
Santa Fé,1490
North West Counties,1490
West Japan,1490
Auckland-North Auckland,1490
Western Force,1490
Bridgend,1490
Currie Cup Select,1490
Gloucestershire / Somerset,1489
North-East Counties,1489
Madagascar,1488
USA B,1488
North-West Counties,1488
Spain U23,1488
University of British Columbia,1488
New South Wales XV,1488
Blackheath,1488
Basque Country,1488
Devonport Albion,1488
North Viti Levu,1488
Cumberland,1488
East Japan,1487
Emerging Australians,1487
Samoa Development Team,1487
Johannesburg Country,1487
South African Colleges,1487
Wasps,1487
Kyushudenryoku Kyuden Voltex,1487
Cambridge University,1487
Bay of Plenty / Counties / Thames Valley,1487
Italy Emergenti XV,1487
Valencia Select,1487
King Country / Counties,1487
Combined Western,1487
South Australian Presidents XV,1486
Abertillery & Cross Keys,1486
Narbonne,1486
Combined Central / Western,1486
Taranaki / King Country,1486
Japan U23,1486
Uganda,1486
Sydney Academy,1486
New York Selection,1486
Lancashire,1485
Castille / Leon XV,1485
South Africa Rugby Association,1485
Australian Universities,1485
Gwent,1485
Dunvant,1485
Sharks XV,1485
South Africa Country Districts,1484
South & South West Counties,1484
Nadroga,1484
Dublin University,1484
Johannesburg Town,1484
Brazil Selection,1484
Northern OFS,1484
Reds A,1484
Leicester & East Midlands,1483
Cornwall-Devon,1483
Réunion,1483
Natal Country,1483
Metropolitan Counties,1483
Pontypool & Cross Keys,1483
San Isidro,1483
Mpumalanga,1483
Basque Selection,1482
Cote d'Azur,1482
Combined Clubs XV,1482
Yorshire / Cumberland,1482
Rebel Rising,1481
Select XV,1481
Lautoka,1481
Invitation XV,1481
Middlesex,1481
Eastern Transvaal / Natal / Transvaal,1481
Mashonaland County Districts,1481
Transvaal XV,1480
South Canterbury,1480
Yugoslavia,1479
Midlands,1479
Australian Southern States,1479
Wanganui / Manawatu,1479
Surrey,1479
Lancashire / Cheshire,1479
Abertillery,1479
Fiji (Western Division),1478
Queenstown,1478
Japan President's XV,1478
Goshawks,1478
Mid Canterbury,1478
Boland Country,1478
Gold Cup XV,1478
Limousin-Auvergne,1478
Guadeloupe,1477
Classic All Blacks,1477
South African Coloured XV,1477
President's Trophy XV,1477
Nippon Steel,1477
Interior Selection,1477
Welsh Counties Under-23,1477
Waikato / King Country / Thames Valley,1477
Bush,1477
SA Mining XV,1476
West of Scotland,1476
Dinamo Pancevo,1476
Calgary,1476
Hartlepool Clubs,1476
Beziers,1475
Highfield,1475
New England,1475
Orange River Colony,1475
Pumas B,1475
Ashburton County / North Otago,1475
Canadian Wolverines,1474
Randwick,1474
Jamaica,1474
Vancouver,1474
South Africa Rugby Federation XV,1474
Ireland Students,1474
Ashburton County,1474
Fiji Development XV,1474
Western Province Colleges,1474
New England Free Jacks,1473
Selection Centre,1473
Southern Kings,1473
Nadi,1473
Thames Valley / Bay of Plenty,1473
Cayman Islands,1473
North-West Fiji,1473
Mediterranean XV,1473
Fiji Barbarians,1473
Transvaal Universities,1473
New Zealand Marist,1472
Sharks Invitational XV,1472
Cordoba,1472
Poverty Bay / Bay of Plenty / East Coast,1471
South Eastern Counties,1471
Patrons XV,1471
Northern Region,1471
North Island XV,1471
Seattle Seawolves,1471
Cook Islands Presidents XV,1471
East London,1470
Seddon Shield XV,1470
Salta,1470
USA Development XV,1469
Benetton Rugby,1469
Tarn,1469
Armed Forces,1468
Fiji European,1468
Central Region,1467
Fiji Juniors,1467
Boland Colleges,1467
Free State Cheetahs,1467
Central Vikings,1466
North Queensland,1466
Roussillon,1465
Eastern Province Country,1465
Monmouthshire U25,1465
Varsavia Select XV,1465
Marlborough / Nelson Bays,1465
Suva,1464
Yorkshire,1464
Prague,1464
Selknam,1464
Colombia,1464
Metropolitan,1463
Toshiba Brave Lupus,1463
Spanish Presidents XV,1463
Western Districts,1463
Nada RC,1463
Mashonaland,1462
Rewa,1462
South India,1462
Central Universities,1461
Belgrano Athletic,1461
Durban,1461
Eastern Counties,1461
USA Falcons XV,1461
Nicaragua,1460
Poland A,1460
Matabeleland,1460
Counties / Thames Valley,1460
London Welsh,1460
Pietermaritzburg,1460
Kent,1460
Western Counties,1459
British Columbia Presidents XV,1459
Namibia South Sub-Union,1459
Eastern Transvaal Country,1459
Brumby Runners,1459
Abertillery/Ebbw Vale,1458
North Midlands,1458
Northern Union,1458
Vava'u & 'Ena Combined,1458
Darling Downs,1458
South Africa Development XV,1457
Cape Town Clubs,1457
RFU Championship XV,1457
Boland Kavaliers,1456
FC Grenoble,1456
Hawke's Bay / Poverty Bay,1456
Barbados,1456
Suva European XV,1456
Canada,1455
Border /  Eastern Province / North Eastern Districts,1455
Japan Universities,1454
Provinical Selection,1454
Russia,1454
Durham,1453
South Rhodesia,1453
Canterbury Development XV,1453
USSR,1453
South West Africa,1452
Scottish Districts,1452
Cape Town Suburbs,1452
Fijian Drua,1452
Queensland B,1452
Glamorgan,1452
Cairns,1451
Grivita RC,1451
Pyrenees / Ariege,1451
Languedoc/Roussillon,1451
Neath / Aberavon,1451
USA A,1450
Northern Free State,1450
Townsville,1450
Congo,1450
Kanto,1449
New South Wales U20,1449
Pumas C,1449
Newbridge,1449
Niue Island,1448
South Africa African XV,1448
Northumberland,1448
Tucumán RC,1448
Toronto,1447
Ampthill,1446
Kansai,1446
Tarbes,1446
London & South East,1446
South African Universities,1446
South West Africa / Griqualand West / NW Cape,1446
Pontypool,1445
Eastern Province Inv. XV,1445
Castres Olympique,1445
North Wales,1444
South of France,1444
BC All Stars,1444
Bay of Plenty Maori,1444
UAE,1444
Switzerland,1444
Civil Service,1444
Yacare XV,1443
North Eastern Cape,1443
Biarritz Olympique,1443
Southern RFU,1443
North East Cape / Border / Transkei,1442
King William's Town,1442
Pontypridd,1442
Alberta,1441
Combined Universities,1441
Grahamstown,1440
Redruth,1440
North of Scotland,1440
United Arab Emirates,1440
Saskatchewan,1440
East Canada,1439
Prov. Argentinas,1439
Transvaal Country Invitation XV,1439
QAS Reds Academy,1439
Japan B,1438
Ukraine XV,1438
Junior Eagles,1438
Manuma Samoa,1438
Nelson,1437
Eastern Province,1437
Cape Province,1437
Gloucester Rugby,1437
USSR A,1437
Upolu Samoa,1436
Central West,1436
Paraguay,1435
South African Barbarians,1435
Saudi Arabia,1434
Rugby Canada,1434
Far West,1434
Fiji (Eastern Division),1433
Waseda University,1433
Armagnac,1433
Western Transvaal Country,1432
Liegi Select XV,1432
Mar Del Plata,1432
South Western Districts,1432
Chad,1432
West Wales,1431
Lyon Olympique Universitaire,1431
Austria,1431
Tonga Presidents XV,1430
Sale Sharks,1430
Wairarapa,1430
Heineken Select,1429
Transkei,1428
South West Africa Country,1428
Kazakhstan,1427
Northern Territory,1427
Cook Islands,1425
Blue Bulls,1424
Kyushu,1424
Italy B,1424
Mont-de-Marsan,1423
Heriot's FP,1423
Northern Districts,1423
Mount Isa,1422
Zimbabwe Goshawks,1422
Wallis & Fortuna,1422
Warwick,1421
Nelson Bays,1420
Port Elizabeth,1420
Blackrock,1420
Shaheen,1419
Combined Boland,1418
Soyaux Angouleme,1418
France B,1417
Turks and Caicos Islands,1417
Manawatu,1417
Welwitschia,1416
Zimbabwe B,1415
East Midlands,1414
RC Toulonnais,1414
Aurillac,1413
North West Cape,1413
Western Union,1413
Highlanders,1413
Devon,1412
Red Hurricanes Osaka,1412
Manawatu / Horowhenua,1411
Toowoomba,1410
Chambery,1410
Western Province,1409
Newcastle,1409
South West of France,1409
Sri Lanka,1408
Guatemala,1407
USA Perpignan,1405
Horowhenua Kapti,1404
Waratahs A,1404
Namibia B,1403
American Samoa,1401
Nova Scotia President's XV,1401
US Hawks,1401
Bangladesh,1401
Tasmania,1401
Pacific Coast,1401
Epra-Sedra,1401
Shizuoka Blue Revs,1400
Ukraine,1399
Tanzania,1398
Jordan,1398
Hanan Shield Districts,1398
Leopards,1398
Combined Services,1398
African Barbarians,1397
Ontario,1397
California Legion,1396
Korea,1394
West Coast / Buller,1394
Nice,1393
Edinburgh Rugby,1392
Madrid XV,1389
Tunisia,1388
South Canterbury / Mid Canterbury / North Otago,1385
Nelson Bays / Marlborough / Golden Bay / Motueka,1385
Cross Keys,1382
Denmark,1382
Toyota Verblitz,1381
Kamaishi Seawaves,1381
Southern Counties,1380
Somerset,1379
Iran,1377
Paraguay A,1377
Marlborough,1377
Zimbabwe A,1374
Honduras,1373
East Coast,1373
Mid-Western Union,1372
Southland,1372
Aviron Bayonnais,1371
Wairarapa Bush,1368
Force,1367
North Otago,1365
Junior Waratahs,1365
Buller,1363
Moldova,1362
Mongolia,1361
Serbia,1357
West Coast,1356
Albania,1353
Poverty Bay / East Coast,1353
ACT A,1351
Botswana,1350
Caldy,1347
Ghana,1347
British Virgin Islands,1346
Wanganui,1345
Latvia,1344
Scarlets,1344
Libya,1343
Malawi,1343
Mayotte,1343
Bermuda,1341
Rwanda,1341
Mitsubishi Sagamihara Dynaboars,1340
Cornwall,1339
Yokohama Canon Eagles,1339
Cheetahs,1338
Brazil XV,1337
Western Australia,1337
Lesotho,1334
New Caledonia,1333
USA Select XV,1330
China,1328
Panama,1325
Belarus,1324
Mie Honda Heat,1322
Brazil,1322
Carcassonne,1321
Arabian Gulf,1317
Boland,1317
Cote D'Ivoire,1314
Czechoslovakia,1314
London Scottish,1314
Dominican Republic,1310
North Eastern Districts,1310
Andorra,1306
Croatia,1304
Israel,1304
Victoria,1301
Canada A,1300
North Harbour,1300
Poverty Bay,1291
Dragons,1286
Nepal,1284
Richmond,1281
Cobras,1280
Montenegro Presidents XV,1280
Canada East,1279
West Germany,1279
USON Nevers,1276
Solomon Islands,1276
Tahiti,1276
Eswatini,1276
Luxembourg,1275
Peru,1273
Venezuela,1267
Finland,1266
Newcastle Red Bulls,1264
Guam,1262
Nigeria,1259
Burkina Faso,1258
Cambodia,1255
Oxford University,1254
Moana Pasifika,1254
King Country,1253
Bulgaria,1249
Slovenia,1248
Samoa A,1246
New South Wales Country,1245
Curacao,1244
India,1243
Laos,1241
Nauru,1241
Cameroon,1240
Benin,1240
Chinese Taipei,1238
Cyprus,1233
El Salvador,1232
Zebre Rugby,1229
East Germany,1228
Togo II,1228
Tau'uta Reds,1225
South Australia,1222
Togo,1216
Black Lion,1212
Germany,1211
Hino Red Dolphins,1209
Guyana,1207
Queensland Country,1200
Mauritius,1198
Uzbekistan,1198
Singapore,1192
St Vincent and the Grenadines,1180
Monaco,1180
Tonga A,1174
Swaziland,1173
Burundi,1172
Newcastle Falcons,1165
Costa Rica,1165
Kyrgyzstan,1155
Bahamas,1154
Thailand,1154
Lithuania,1153
Bosnia & Herzegovina,1147
Zambia,1138
Urayasu D-Rocks,1123
Malaysia,1117
Armenia,1107
St Lucia,1090
Montenegro,1089
Vanuatu,1070
Hungary,1068
Pakistan,1061
Cambridge,1057
Turkey,1045
US Montauban,1038
Greece,1015
Ecuador,1009
Brunei,971
Indonesia,956
Slovakia,949
Kosovo,927
Azerbaijan,871
Norway,850
Estonia,684
